,Clue,Answer,Explanation
532,"Good characters are, for example, caught in wicked libel",LEGIBLE,"Definition: Good characters are
EG [for example] in anagram [wicked] of LIBEL – a great surface and my other joint favourite clue
"
533,A current coastal issue ,DELTA,"cryptic definition
"
534,Cuts with no sound,NICKS,"Definition: Cuts
sounds like NIX [no]
"
535,Arrest pub-crawling wild child,SUPERBRAT,"Definition: wild child
anagram [crawling] of ARREST PUB
"
536,Part of Apple Computers gets the bird ,PIPIT,"Definition: bird
PIP [part of apple] + IT [computers]
"
537,"An apple a day keeps this, I pray ",PLEAD,"Definition: pray
hidden in apPLE A Day
"
538,"On the rocks? Not in this case, though sadly taken in about doctor",NEAT DRINK,"Definition: On the rocks? Not in this case
anagram [sadly] of TAKEN IN round DR: a neat drink would be served without ice, so not ‘on the rocks’
"
539,Apple (Pink Lady) the ultimate for baking etc,COOKERY,"Definition: baking etc
COOKER [apple] + last letter of ladY: I think the ‘Pink’ is there only for the surface
"
540,"On the rocks and abandoned, could be Apple follower ",GROUPIE,"Definition: follower
[a]GROU[nd] [on the rocks minus ‘and’] + PIE [could be apple]: a clever alternative use of ‘on the rocks’
"
541,Might have an Apple? I hardly think so! ,MY EYE,"Definition: Might have an Apple?I hardly think so!
double / cryptic definition – reference to the phrase ‘apple of one’s eye’
"
542,Boatman gives away an apple for a lover ,SWAIN,"Definition: lover
[cox]SWAIN [boatman] minus cox [a type of apple] – Boatman usually manages to get himself into his puzzles in other ways than simply using the personal pronoun, as in 13dn: this is a lovely example
"
543,Popular Apple product: they say dealing with it is wrong,INSIDER,"Definition: dealing with it is wrong
IN [popular] SIDER [sounds like {they say} cider – Apple product]
"
544,Apple product reported for bugs,BEETLES,"Definition: bugs
sounds like Beatles, whose records were produced by Apple
"
545,Friends prepared girl on mountain retreat,PLAYMATES,"Definition: Friends
reversal [retreat] of SET [prepared] + AMY [girl] + ALP [mountain]
"
546,"Excuse for unnatural sex act involving movement of women, perhaps",ALIBI,"Definition: Excuse
AI [artificial insemination – unnatural sex act] round LIB [movement of women, perhaps]
"
547,Runner not deviating from one direction,NON-RETURN,"Definition: from one direction
anagram [deviating] of RUNNER NOT

**Down**
"
548,Source of apple juice with high priority,ASAP,"Definition: with high priority
A [source – first letter – of Apple] + SAP [juice]
"
549," A little gadget, which shows when you’ve stopped",SPEEDO,"Definition:  A little gadget
cryptic definition? I don’t quite get this one
"
550,Advanced position for hide: badger annihilated,BRIDGEHEAD,"Definition: Advanced position
anagram [annihilated] of HIDE BADGER
"
551,Old wife’s tale told of Big Apple ,GRANNY SMITH,"Definition: Big Apple
GRANNY’S [old wife’s] MITH [sounds like {told} MYTH [tale]
"
552," Of course, part is in apple-pie order",STRAIGHT,"Definition:  Of course, partin apple-pie orde
double definition – the home straight is part of a racecourse
"
553,Apple product paid off,IPAD,"Definition: Apple product
anagram [off] of PAID
"
554,Dried food? It’s apple crumble,SPLIT PEA,"Definition: Dried food
anagram [crumble] of  IT’S APPLE – great surface!
"
555,First 11 letters of  “skunk” ,ATOK,"Definition: “skunk”
A TO K : I’ve seen ATOM clued in a similar way but I’d never heard of this species of skunk
"
556,Multifunctional tool for haircare by Boatman,COMBI,"Definition: Multifunctional
COMB [tool for haircare] + I [Boatman]
"
557,Bilious? So try sweet seafood dish,OYSTER STEW,"Definition: seafood dish
anagram [bilious] of SO TRY SWEET
"
558,"The Eagles, reformed, endorse absent party",ERNES,"Definition: Eagles
anagram [reformed] of EN[do]RSE minus do [party]
"
559,In transport in the City and not moving,ECSTATIC,"Definition: In transport
EC [the City] + STATIC [not moving]
"
560,Gander with citrus sliced over big apple,SCRUTINY,"Definition: Gander
anagram [sliced] of CITRUS + NY [New York, the Big Apple]I thought ‘gander’ might be Cockney rhyming slang for a look – but, of course, that’s a butcher’s [hook]
"
561,The Graduate” offends in scenes of depression ,BASINS,"Definition: scenes of depression
BA [graduate] + SINS [offends]
"
562,Clue to dial home — with a bad back?,LAID UP,"Definition: home — with a bad back
LAID is a reversal [UP] of DIAL – another excellent surface, which really made me laugh
"
563,"Fruit, the first apple …",PEARMAIN,"Definition: apple
PEAR [fruit] + MAIN [the first] for another type of apple
"
564,"across … provides clue for confused, hesitant leader of England dropped",HINTS AT,"Definition: provides clue for
anagram [confused] of H[e]SITANT minus first letter of England
"
565,"Watery lake, wet banks",SLOPPY,"Definition: Watery
SOPPY [wet] round [banks ] L [lake]
"
566,"First persons in Europe to welcome leader of regime, old, old city",JERICHO,"Definition: old city
JE [French] and ICH [German] first person pronouns round [to welcome] R [first letter – leader – of Régime] + O [old]
"
567,Hawthorns tip on one side,COCKSPURS,"Definition: Hawthorns
COCK [tip – both as verbs] + SPURS [one side – Tottenham Hotspurs]
"
568,Mad reservists?,BARMY,"Definition: Mad
B ARMY – nice one!
"
569,"Lethal drug containing Irish whiskey? Ultimately, it’s not true",FAIRY TALE,"Definition: it’s not true
FATAL [lethal] round [containing] IR [Irish] and Y [last letter – ultimately – of whiskeY]* [+ E [drug] accidentally omitted earlier – thanks NeilW @11]*
"
570,Cross bridges if to give evidence,TESTIFY,"Definition:  give evidence
TESTY [cross] round [bridges] IF
"
571,Warning that’s right about which man’s after my own heart?,AUGURY,"Definition: Warning
R [right] around which is GUY [man] after AU [pAUl’s own heart] – a very neatly constructed clue
"
572,"Old wine in Pinot, bowels evacuated",PAST IT,"Definition: Old
ASTI [wine] in P[ino]T [bowels evacuated!]
"
573,"Bleat about faceless joint, one serving non-alcoholic drinks ",BARISTA,"Definition: one serving non-alcoholic drinks
BAA [bleat] round [w]RIST [faceless joint]: interestingly, it’s just a couple of days since Crucible gave us  faces = first letters, which I didn’t remember having seen before
"
574,"Toilet empty, entering toilet is a gamble",LOTTO,"Definition: a gamble
T[oile]T [toilet empty] in LOO [toilet]
"
575,Double entendre primarily in string,TWINE,"Definition: string
TWIN [double] + E [Entendre primarily]
"
576,"Bitter bread possibly English, I’m not sure Napoleon eating it",BEER MONEY,"Definition: Bitter bread possibly
BONEY [Napoleon] round [eating] E [English] + ERM [I’m not sure] – amusing definition, bread being slang for money
"
577,"Cause trouble, as might a 3?",MAKE THE FUR FLY,"Definition: Cause trouble
cryptic definition
"
578,"Shrub mainly robust, leastwise at every border ",MYRTLE,"Definition: Shrub
first and last letters [at every border] of MainlY RobusT LeastwisE

**Down**
"
579,Old instrument still under fire,SACKBUT,"Definition: Old instrument
BUT [still] under SACK [fire]
"
580,"Blade Runner film award is the peak, pope claims",OSCAR PISTORIUS ,"Definition: Blade Runner
OSCAR [film award] + PIUS [pope] round [claims] IS TOR [peak] – a nice misleading ‘lift and separate’ surface
"
581,"Putin not entirely sorry, not right when subversive girls ultimately jailed — them?",PUSSY RIOT,"Definition: subversive girlsthem
anagram [subversive] of PUTI[n] + SOR[r]Y [sorry, not right] + S last letter [ultimately] of girlS – not quite & lit but a very clever construction and surface
"
582,"Can I see limits in Jamaican running, accepting premier of sprinters is Olympic gold medallist?",JESSICA ENNIS,"Definition: Olympic gold medallist
anagram [running] of CAN I SEE J[amaica]N round [accepting] first letter [premier] of Sprinters + IS – a clever clue for the Olympic golden girl, with a reference to Jamaican sprinting wonder, Usain Bolt
"
583,Very eager to lose gram to get thin,REEDY,"Definition: thin
[g]REEDY [very eager] minus G [gram]
"
584,"For starters, consider each northern constellation — to be one in the south?",CENTAURUS,"Definition: constellationone in the south
First letters [starters] of Consider Each Northern + TAURUS [constellation]
"
585,Shellfish gobbled by boy’s terrapin,OYSTER,"Definition: Shellfish
hidden in bOYS TERrapin
"
586,I’m surprised to see politician with a large strawberry scoffing fruit,GORBLIMEY,"Definition: I’m surprised
GORBY [politician with a large strawberry] round [scoffing] fruit
"
587,Thumb thing — thumbthing thought?,THIMBLE,"Definition: Thumb thing
the lisping wordplay refers to the game of ‘Hunt the thimble’, in which the thimble is something sought
"
588,Kind of case where risk overshadows challenge,BASKET,"Definition: Kind of case
BET [risk] round [overshadows] ASK [challenge]
"
589,"Untrustworthy in the end, locate new attendant",ACOLYTE,"Definition: attendant
anagram [new] of LOCATE + last letter [in the end] of untrustworthY
"
590, Unpleasant stuff deposited in an amount of money,SPUTUM,"Definition:  Unpleasant stuff
PUT [deposited] in SUM [amount of money]
"
591,Open on time,OVERT,"Definition: Open
OVER [on] + T [time]
"
592,"Principle number eight, gutless",TENET,"Definition: Principle
TEN [number] + E[igh]T
"
593,Blunt warning?,TIP-OFF,"Definition: warning
an amusing cryptic definition to start us off
"
594,"First, little one’s about to tell a story of flowers ",LILIES,"Definition: flowers
L [first letter of Little] + I’S [one’s] round LIE [to tell a story]
"
595,Impulse to say game should be turned round,URGE,"Definition: Impulse
reversal [turned round] of EG [say] + RU [Rugby Union – game]
"
596,Health food gets extremely dry — picture a biscuit,BRANDY SNAP,"Definition: biscuit
BRAN [healthy food] + D[r]Y [extremely dry] + SNAP [picture]
"
597,"Quirky smile, going round the bend to start the day?",MUESLI,"Definition: to start the day?
anagram [quirky] of SMILE round U [bend]
"
598,Arrogant bird? Yes!,COCKSURE,"Definition: Arrogant
COCK [bird] + SURE [yes]
"
599,Which person’s the French girl with energy in large quantities,WHOLESALE,"Definition: in large quantities
WHO [which person] + LE [the French] + SAL [girl] + E [energy]
"
600,Give credit for the pound’s demise,LEND,"Definition: Give credit
L [pound] + END [demise]
"
601,"Ecstatic, when talking money",CENT,"Definition: money
sounds like [when talking] ‘sent’ [ecstatic]
"
602,Checks pitch at pavement’s edge,CURBSTONE,"Definition: pavement’s edge
CURBS [checks] + TONE [pitch]
"
603,"Fish taken out of American hard, black conveyance",PUSHBIKE,"Definition: conveyance
PIKE [fish] round [‘taken out of”?] + US [American] + H [hard] + B [black]
"
604, Carry on making space for operator to come round,RESUME,"Definition:  Carry on
reversal [to come round] of EM [space] + USER [operator]
"
605,Largely off course about sanctimonious little man returning with plant ,ASPIDISTRA,"Definition: plant
ASTRA[y] [largely off course] round PI [sanctimonious] + reversal of SID [little man]
"
606,While entertaining reverend gentleman tots will assuredly appear,ADDS,"Definition: tots
AS [while] round [entertaining] DD [Doctor of Divinity – reverend gentleman]
"
607,"Romantic songs in silly riddle, after point for daughter",LIEDER,"Definition: Romantic songs
anagram [silly] of RIDELE [riddle with D [daughter] replaced by E [point]
"
608,"Coming from abroad, am I chubby in the nude?",ADAMIC,"Definition: in the nude
hidden in abroAD AM I Chubby

**Down**
"
609,"Hawkeshead, lying in a narrow depression, is in telephone communication",THROUGH,"Definition: in telephone communication
H [first letter – head – of HAWK[e] in TROUGH [narrow depression]
"
610,"Being 6, dispel wrinkles",PRESS,"Definition: Being 6dispel wrinkles
double / cryptic definition:  to press is to be insistent
"
611,Super water colourist caught opening sketching materials,FABRICS,"Definition: materials
FAB [super] + RI [Member of the Royal Institute of Painters in Water Colours] + C [caught] + S [first letter of Sketching]
"
612,"Having rashly cued in, bring it on!",INDUCE,"Definition: bring it on
anagram [rashly] of CUED IN
"
613,"Concentrating on capturing one on board, compelling attention",INSISTENT,"Definition: compelling attention
INTENT [concentrating] round [capturing] I in SS [‘one on board’]
"
614,"Marked Cliff, an ardent left-winger",SCARRED,"Definition: Marked
SCAR [cliff] + RED [ardent left-winger]
"
615,Heard to put artic into reverse at some degree,BACCALAUREATE,"Definition: degree
sounds like [heard] ‘back a lorry at’ – ‘put artic into reverse at’
"
616,Inlet much improved by midday?,LUNCHTIME,"Definition: midday?
anagram [improved] of INLET MUCH
"
617,"Pass round peacekeepers’ quarters, offering advice",COUNSEL,"Definition: advice
COL [pass] round UN [United Nations – peacekeepers] + SE [quarters]
"
618,Except for mum I would have a local job,BARMAID,"Definition: I would have a local job
BAR [except for] + MA [mum] + I’D [I would]
"
619,Typical manic do for this kind of life,NOMADIC,"Definition: this kind of life
anagram of MANIC DO
"
620,Joint I’d brought in to share,DIVIDE,"Definition: share
I’D in DIVE [joint]
"
621,Honeybunch?,SWARM,"cryptic definition
"
622,Insignificant river in 2,TINPOT,"Definition: Insignificant
PO [river] in TINT
"
623, Strong river in 2,ROBUST,"Definition:  Strong
OB [river] in RUST
"
624,Country setter has 2 briefly after 11,MEXICO,"Definition: Country
ME [setter] + CO [colour {very!} briefly] after XI [11]
"
625, Repercussions from breaking bow in 2,BLOWBACK,"Definition:  Repercussions
anagram [breaking] of BOW in BLACK
"
626,11 Tremendous acceleration in 2,HUGE,"Definition: 11 Tremendous
G [acceleration] in HUE
"
627,"Controlled strictly, say (I meant heartlessly) in 2",REGIMENTED,"Definition: Controlled strictly
EG [say] + I ME{a}NT in RED
"
628," Fundamentalist belief of Zionist, sadly beheaded in 2",CREATIONISM,"Definition:  Fundamentalist belie
anagram [sadly] of [z]IONIST [beheaded] in CREAM
"
629,Bullied by French beast holding one in 2,BROWBEATEN,"Definition: Bullied
BÊTE [French beast] round [holding] A [one] in BROWN
"
630,"Vocalisation of friendship, when separated",BARK,"double definition: we have to separate ‘friend ship’ to arrive [eventually!] at vocalisation of dog [man’s best friend] and the alternative spelling of barque [ship]
"
631,Minor annoyance demands slight reduction of cost in 2,PINPRICK,"Definition: Minor annoyance
PRIC [slight reduction of PRIC{e}] in PINK
"
632,Wanting too much from edition in 2,GREEDY,"Definition: Wanting too much
ED [edition] in GREY
"
633,Cover over books of empty talk maybe from 10,HOT AIR,"Definition: empty talk maybe from 10
HAIR [cover] round OT [Old Testament – books]
"
634,Humbug puts silver in 2,BLAGUE,"Definition: Humbug
AG [silver] in BLUE

**Down**
"
635,Contrive to energise with change of polarity,ENGINEER,"Definition: Contrive
anagram of ENERGI[s]E with the S changed to N [change of polarity] – so either ‘contrive’ or ‘change’ is doing double duty
"
636,"After poisonous gas, look black and go red", COLOUR,"Definition: go red
CO [carbon monoxide – poisonous gas] + LOUR
"
637,Driver to test the golden isle,MOTORMAN,"Definition: Driver
MOT [test] + OR [golden] + MAN [isle]
"
638,South African city bar renovated in 2,DURBAN,"Definition: South African city
anagram [renovated] of BAR in DUN
"
639,Bound to be busy,TIED UP,"double definition, with a Rufusian flavour
"
640,Just the thing to let one travel,TICKET,"double / cryptic definition – likewise
"
641,Married criminal’s misplaced article: take leader off for disastrous decision,A BIG MISTAKE,"Definition: disastrous decision
A BIG[a]MIST [married criminal] with the A misplaced + [t]AKE [leader – first letter – off] – lovely construction
"
642,Primate’s go slow providing appetiser,APERITIF,"Definition: appetiser
APE [primate] + RIT [abbreviation for musical direction ritenuto – a sudden slowing down, or ritardando – with diminishing speed]] + IF [providing]
"
643,"Drown in beer mugs, possibly",SUBMERGE,"Definition: Drown
anagram [possibly] of BEER MUGS
"
644, Spirit of anger enveloping one,WRAITH,"Definition:  Spirit
WRATH [anger] round [enveloping] I [one]
"
645,Crossing game,BRIDGE,"double definition – a further reminder of Rufus
"
646,American deer to hand back for Italian one,WAPITI,"Definition: American deer
reversal [back] of PAW [hand] + IT [Italian] + I [one] for this American deer, another new word for me
"
647,"Slight problem for horse, say, in river",NIGGLE,"Definition: Slight problem
GG sounds like [say] gee-gee [horse] in NILE [river]
"
648,Deliver complete apparatus for nothing,SET FREE,"Definition: Deliver
SET [complete apparatus] + FREE [for nothing]
"
649,"Church one follows, if not in London",CHELSEA,"Definition: in London
CH [church] + ELSE [if not] + A
"
650,Called after parking accident,PRANG,"Definition: accident
P [parking] + RANG [called]
"
651,Uproar about bodily appetites may be life-threatening,RIFLE SHOT,"Definition: may be life-threatening
RIOT [uproar] round FLESH [bodily appetites]
"
652,Unaccomplished representation of temple icon,INCOMPLETE,"Definition: Unaccomplished
anagram [re-presentation] of TEMPLE ICON
"
653,The last word in steam engines,AMEN,"Definition: The last word
hidden in steAM ENgines
"
654,"Tolerate a knight in power, showing self-control",FORBEARANCE,"Definition: self-control
BEAR [tolerate] + A N [knight, in chess notation] in FORCE [power]
"
655,Rapid cement breaking up in a corner ,PREDICAMENT,"Definition: corner
anagram [breaking up] of RAPID CEMENT
"
656,Love taking in a fixer,NAIL,"Definition: fixer
NIL [love] round A
"
657,Angry at having sick around the place,DISPLEASED,"Definition: Angry
DISEASED [sick] around PL [place]
"
658,Humiliation in a lowly room,ABASEMENT,"Definition: Humiliation
A BASEMENT [lowly room]
"
659,Oscar’s green — that’s obvious,OVERT,"Definition: obvious
O [oscar] + VERT [green]
"
660,Hot saké prepared? That’s a classic!,THE OAKS,"Definition: a classic
anagram [prepared] of HOT SAKÉ, for the classic horse race, run at Epsom
"
661,Gather round useless drink-maker,INFUSER,"Definition: drink-maker
INFER [gather] round US [abbreviation for unserviceable – useless]

**Down**
"
662,Girl making concession having to hurry,SOPHIE,"Definition: Girl
SOP [concession] + HIE [hurry]
"
663,Suspicion about player’s dazed state,TRANCE,"Definition: dazed state
TRACE [suspicion] round N [player in bridge]
"
664,Urchin has fish served up on a plain cake,RAGAMUFFIN,"Definition: Urchin
reversal [served up] of GAR [fish] + A MUFFIN [a plain cake]
"
665,Recruit first needs to be introduced to revolutionary teaching,ENROL,"Definition: Recruit
N [first letter of needs – which some won’t like!] in reversal [revolutionary] of LORE [teaching]
"
666,Eerie fact about drink-maker,CAFETIÈRE,"Definition: drink-maker
anagram [about] of EERIE FACT
"
667,Tailor loses top for jug,EWER,"Definition: jug
[s]EWER [tailor minus first letter – top]
"
668,Old Bob’s friend Ann is a composer,SCHUMANN,"Definition: composer
S [shilling – ‘old bob’] + CHUM [friend] + ANN
"
669,Was there when a Rechabite expired,ATTENDED,"Definition: Was there
A TT [a teetotaller – Rechabite] + ENDED [expired]
"
670,Twin effort goes wrong — it’s damaged beyond repair,WRITTEN OFF,"Definition: damaged beyond repair
anagram [goes wrong] of TWIN EFFORT
"
671,Facility to see above one’s head,READINESS,"Definition: Facility
READ [see] + I [one] + NESS [head]
"
672,Old enclosure and shed found in excavation,OPENCAST,"Definition: excavation
O [old] + PEN [enclosure] + CAST [shed]
"
673,Think of friend about to revise,MEDITATE,"Definition: Think
MATE [friend] round EDIT [revise]
"
674,Property like flats,ASSETS,"Definition: Property
AS [like] + SETS [flats – as in stage scenery, I think]
"
675,Computer program overturned current operations research,EDITOR,"Definition: Computer program
reversal [overturned] of TIDE [current] + OR [operations research]
"
676,Cherubs set it up,PUTTI,"Definition: Cherubs
PUT [set] + reversal [up] of IT
"
677,"Star, for a very long time, in the ascendant",VEGA,"Definition: Star
V [very] + reversal [in the ascendant] of AGE [long time]
"
678,Regime seeing annihilation of middle class as key again,RETYPE,"Definition: key again
R[egim]E minus [seeing annihilation of] its middle letters + TYPE [class]
"
679,Prohibition of smacking’s good and right,SLAP BANG,"Definition: right
SLAP BAN [prohibition of smacking] + G [good]
"
680,Show electronic cable?,EVINCE,"Definition: Show
E [electronic] + VINCE [Cable – Lib dem MP, who has been such a gift to crossword setters]: a bit naughty to rob him of his capital but, for me, Arachne’s question mark lets her off
"
681,"Father Jack, perhaps, embraced by Anglicans, causing split",CREVASSE,"Definition: split
REV [father] ASS [jack, perhaps] in CE [Church of England – Anglicans] – superb surface!
"
682,Joe Bloggs entertains them in variety,MAN IN THE STREET,"Definition: Joe Bloggs
neat anagram [in variety] of ENTERTAINS THEM
"
683,I’d a way to help poorer countries,FOREIGN AID,"Definition: a way to help poorer countries
AID is an anagram [foreign] of I’D A
"
684,List some prime numbers,MENU,"Definition: List
hidden in priME NUmbers
"
685,He helps virgin to shed clothes,AIDE,"Definition: He helps
[m]AIDE[n] [virgin] shedding first and last letters – clothes
"
686,It’s very hard to bear Spooner’s married lady friend,DEAD WEIGHT,"Definition: It’s very hard to bear
Spooner’s version of ‘wed date’: my heart sinks when I see ‘Spooner’ but this is a nice one
"
687,Waste ground next to railway? It’s increasingly profitable,GROWTH INDUSTRY,"Definition: It’s increasingly profitable
GROW THIN [waste] + DUST [ground] + RY [railway]
"
688,News broadcast shot at home,BULLETIN,"Definition: News broadcast
BULLET [shot] + IN [at home]
"
689,Mature bulb regularly coming into flower,NUBILE,"Definition: Mature
alternate letters [regularly] of bUlB in NILE [flower]
"
690,"Alienate Argentines, dropping in unexpectedly",ESTRANGE,"Definition: Alienate
anagram [unexpectedly] of ARGENT[in]ES minus [dropping] in – a very nice surface and construction
"
691,Heartlessly asking boy about potential source of misunderstanding,AGE GAP,"Definition: potential source of misunderstanding
A[skin]G [heartlessly} + reversal [about] of PAGE [boy]

**Down**
"
692,Regretted vulgar sounds,RUED,"Definition: Regretted
sounds like rude [vulgar] – and there’s no ambiguity!
"
693,Might an East End trichologist treat this for nothing?,THIN AIR,"Definition: nothing
East End trichologist’s possible pronunciation of ‘thin hair’
"
694,Stop that manic panic about stuff!,PACK IT IN,"Definition: Stop that
anagram [manic] of PANIC round KIT [stuff] – and you could say that PACK IT IN = stuff
"
695,Generous — and inclined to be magnanimous,LARGE-MINDED,"Definition: Generous
I can’t really make this wordplay work: it’s not a double definition, since ‘generous’, ‘large’ and ‘magnanimous’ are all synonyms. I’m pretty sure I haven’t  come across this expression before and I don’t think I like it [it’s in Chambers but not my [older] Collins or SOED]: it’s a literal translation of the Latin magnanimus but that’s usually rendered as ‘great-hearted’ or ‘great-spirited’ : I think I’m missing somethiing!
"
696,Turns from small to big noise during escalation,PIVOTS,"Definition: Turns
reversal [during escalation, in a down clue] of S [small] + TO + VIP [big noise!]
"
697,Unemotional principals in Faust were sacked,AUSTERE,"Definition: Unemotional
[f]AUST [w]ERE – first letters [principals] omitted [sacked]
"
698,Garbo doesn’t have time to tease relative,GREAT-AUNT,"Definition: relative
GRE[t]A [Garbo minus T {time}] + TAUNT [tease]
"
699,Pounding ingredients,TENDERISING,"Definition: Pounding ingredients
wonderful &lit anagram [pounding] of INGREDIENTS – probably my favourite clue but I haven’t time to list them all
"
700,"French-Belgian compromise, easily broken",FRANGIBLE,"Definition: easily broken
anagram [compromise?] of FR [French] + BELGIAN – or is it a compromise of FR and BELGIAN with ‘easily broken’ doing double duty?
"
701,Engorged lower half of wildebeest upset another wildebeest,BEE-STUNG,"Definition: Engorged
BEEST [lower half of wildeBEEST] + reversal of GNU [another {name for} wildebeest]: a lovely clue – and, of course, I can’t resist giving you a link to this song
"
702,Tiny amount of petrol mistakenly offered at under a dollar,DROPLET,"Definition: Tiny amount
anagram [mistakenly] of PETROL under D [dollar? – I could only find this under USD, for example]
"
703,"Getting dressed, kid goes over to Crosby",GARBING,"Definition: Getting dressed
reversal [goes over] of RAG [kid – as verbs] + BING [Crosby]
"
704,Goddess later giving up booze?,ATHENA,"Definition: Goddess
THEN [later] in AA [Alcoholics Anonymous – giving up the booze] – I liked this one!
"
705,Ocean‘s water departed on a rising tide?,DEEP,"Definition: Ocean
reversal [on a rising tide] of  PEE [water] + D [died – departed]
"
706,Marsh ground in Goa?,NGAIO,"Definition: Marsh
anagram [ground] of IN GOA for the New Zealand crime writer, Ngaio Marsh
"
707,"Exploitation by commanding officer, one in sizzling casual wear ",HOUSECOAT,"Definition: casual wear
USE [exploitation] + CO [commanding officer] + A [one] in HOT [sizzling]
"
708,Close associate‘s bottom sagged — that’s painful!,BEDFELLOW,"Definition: Close associate
BED [bottom] + FELL [sagged] + OW [that’s painful!]
"
709,One with an agenda — hacking car phones with iridium implant,CHAIRPERSON,"Definition: One with an agenda
anagram [hacking] of CAR PHONES round [with implant of] IR [iridium]
"
710,Line in mate’s clothing,CLOBBER,"Definition: clothing
L [line] in COBBER [Antipodean mate] for a slang word for clothing
"
711,Died wearing examination supports ,TRIPODS,"Definition: supports
D [died] in [wearing] TRIPOS [Cambridge University examination]
"
712,Stupendous housing tip,UPEND,"Definition: tip
hidden in [housed by] stUPENDous
"
713,"Soup from rounded, duck-black vessel",GUMBO,"Definition: Soup
reversal [rounded] of O [duck] + B [black] + MUG [vessel]
"
714,Keen to go having been needled?,HYPED UP,"Definition: Keen to go
double / cryptic definition, referring to hypodermic needles
"
715,Act of sleeping produced by bad opera’s length!,REPOSAL,"Definition: Act of sleeping
anagram [bad] of OPERA’S + L [length]
"
716,Collective curios mostly outrival returns,VIRTU,"Definition: Collective curios
hidden reversal [returns] in oUTRIVal
"
717,"Making tiger come out of a pyramid, say ",GEOMETRIC,"Definition: a pyramid, say
anagram of TIGER COME
"
718,"Admirable features, thorough observations",GOOD LOOKS,"Definition: Admirable featuresthorough observations
double definition, although I’ve never seen the second in the plural
"
719,"One seen in rushes of movie, ultimately eaten by plant?",MOSES,"Definition: One seen in rushes
E [last letter – ultimately – of moviE] in [eaten by] MOSS [plant]

**Down**
"
720,Puggish feature of bonuses distributed and reduced internally,SNUB NOSE,"Definition: Puggish feature
anagram [redistributed] of BONUSES round N [‘and reduced’, as in fish ‘n’ chips]
"
721,She would ineptly get players into bad habits,WARDROBE MISTRESS,"this was almost my last entry: it sprang instantly to mind at first sight, simply from the letter-count and I struggled to find anagrams [ineptly, bad] or other wordplay: it was only when I had all the crossers that light dawned that it’s [just] a cryptic definition: an inept wardrobe mistress would get the actors into the wrong costumes – bad habits. Doh! [I still haven’t decided whether I think it’s very clever or rather weak.]
"
722,"Oh, to be back in New Circle Cross",CHOLERIC,"Definition: Cross
reversal [back] of OH in anagram [new] of CIRCLE
"
723,Be more ingenious than blooming joker,OUTWIT,"Definition: Be more ingenious than
OUT [blooming] + WIT [joker]
"
724,"Coming to a stop,  pretty high on drugs?",FETCHING UP,"Definition: Coming to a stop
FETCHING [pretty] + UP [high on drugs?]
"
725,How annoying to be turned over for lead ,STAR,"Definition: lead
reversal [to be turned over] of RATS [how annoying]: and no annoying ambiguity – hurrah!
"
726,Idle person with set habit needs analyst’s aid: “Doctor too pat”,COUCH POTATO,"Definition: Idle person with set habit
COUCH [analyst’s aid] + anagram [doctor] of TOO PAT – nice use of ‘set habit’ for Chambers’  ‘a person whose leisure time is spent sitting shiftlessly in front of the television or video’
"
727,One physically representing an actor needs stiff drink of spirits,BODY DOUBLE,"Definition: One physically representing an actor
BODY [stiff] + DOUBLE [drink of spirits]
"
728,"Homer’s after second cutter, say, for grass",STOOL PIGEON,"Definition: grass
PIGEON [homer] after S [second] TOOL [cutter, say]
"
729,"Old, much performed piece? Actually, a modern hit",WARHORSE,"Definition: Old, much performed piecea modern hit
double definition, referring to the play / film based on Michael Morpurgo’s book
"
730,Greens commonly associated with top grade star,VEGA,"Definition: star
VEG [greens commonly] + A [top grade]
"
731,Oscar’s equivalent of a thief’s aid (not jack),EMMY,"Definition: Oscar’s equivalent
[j]EMMY [thief’s aid] minus J [jack, in cards]: are there any legitimate uses for a jemmy?
"
732,“Nice little earner” from bread and milk supplier,CASH COW,"Definition: “Nice little earner”
CASH [‘bread’] + COW [milk supplier]
"
733,"Plant some borders, no different",SESAME,"Definition: Plant
SE [first and last letters – borders – of S[om]E + SAME [no different]
"
734,Cuckoo out to preserve bird ,TOUCAN,"Definition: bird
Anagram [cuckoo] of OUT + CAN [preserve]
"
735,"Lady singing, good range",GAGA,"Definition: Lady singing
G [good] + AGA [range] for Lady Gaga
"
736,"Not entirely cool, getting bowled in third awkward delivery ",CHILDBIRTH,"Definition: delivery
CHIL[ly] [not entirely cool] + B [bowled] in anagram [awkward] of THIRD
"
737,Threaten to pin tail on monkey,IMPEND,"Definition: Threaten
END [tail] on IMP [monkey]
"
738,Happy to accept counter-flowing effluent escapes,GETS AWAY,"Definition: escapes
GAY [happy] round [to accept] reversal [counter-flowing] of WASTE [effluent]
"
739,Articles to film for the body expert ,ANATOMIST,"Definition: body expert
AN A [articles] + TO + MIST [film]
"
740,23’s interpretation of self or Iman?,LIFE ON MARS,"Definition: 23’s
anagram [interpretation] of SELF OR IMAN
"
741,23’s musical,FAME,"Definition: 23’s
double definition: the Bowie song and the musical
"
742,"One bleating about pallor, primarily, has need for dark pigment",LAMPBLACK,"Definition: dark pigment
LAMB [one bleating] round P[allor] + LACK [need]
"
